episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
1,1,3.137993574142456,-0.12057877813504823,-100,0.0,0.044919932784477305,-0.31292203532562257,10
2,0.99,10.887867212295532,-0.09668960996394625,-100,100,-0.007887314526222823,-100,10
3,0.9801,19.728870630264282,-0.10046769443963277,-100,10,-0.002009772590178755,-100,10
4,0.9702989999999999,30.41986870765686,-0.08496923527688251,-100,100,-0.18928905859043155,-100,10
5,0.96059601,42.98167157173157,-0.08652094717668488,-100,100,-0.06626092944024667,-100,10
6,0.9509900498999999,59.55555272102356,-0.08723599632690542,-100,100,-0.005097537914212993,-100,10
7,0.9414801494009999,76.15056037902832,0.04116436342252279,-100,100,-0.23543505954628843,-100,10
8,0.9320653479069899,96.30566596984863,-0.0916988416988417,-100,10,-0.0007427951027241618,-100,100
9,0.92274469442792,122.25784683227539,-0.09199483537766301,-100,10,-0.015665981259364713,-100,10
10,0.9135172474836407,149.49183535575867,-0.05813953488372093,-100,100,-0.09601565486097274,-100,100
11,0.9043820750088043,179.904292345047,-0.06305385139740968,-100,100,-0.18671024544830472,-100,10
12,0.8953382542587163,212.466299533844,-0.08491281273692192,-100,10,-0.08753366807126323,-100,10
13,0.8863848717161291,245.49198579788208,-0.027105168052041922,-100,100,-0.16855576550670875,-100,10
14,0.8775210229989678,289.6014213562012,-0.08938203112960394,-100,100,-0.03339404048054883,-100,100
15,0.8687458127689781,330.0944836139679,-0.10038075458636206,-100,10,0.023978697088661682,-100,10
16,0.8600583546412883,376.034645318985,-0.10189982728842832,-100,100,-0.021587322327091464,-100,100
17,0.8514577710948754,426.99786615371704,-0.09984506799793424,-100,10,0.004535092903415457,-100,10
18,0.8429431933839266,479.91741824150085,-0.09229274611398963,-100,10,-0.02761712297515488,-100,10
19,0.8345137614500874,544.211446762085,-0.02718974558166634,-100,10,-0.11550157288400666,-100,10
20,0.8261686238355865,599.7007093429565,-0.08679762448606669,-100,100,-0.022478359466611596,-100,100
21,0.8179069375972307,657.9475517272949,-0.08480993487808572,-100,10,-0.03391461992897196,-100,10
22,0.8097278682212583,718.0727071762085,-0.08826662608430985,-100,100,-0.06883061066097099,-100,10
23,0.8016305895390458,788.7679350376129,-0.08846857840146431,-100,100,0.018223096522517156,-100,100
24,0.7936142836436553,856.982604265213,-0.08663930688554491,-100,100,-0.06196100019696596,-100,10
25,0.7856781408072188,933.0635044574738,-0.08751727314601566,-100,100,-0.07021045620589206,-100,10
26,0.7778213593991465,1013.0072689056396,-0.04634180592613397,-100,10,-0.03843639768791835,-100,100
27,0.7700431458051551,1093.1159992218018,-0.09161041465766634,-100,10,-0.05138674355907202,-100,100
28,0.7623427143471035,1181.3459901809692,-0.05118169501731146,-100,10,-0.12606215993152886,-100,10
29,0.7547192872036325,1277.355976343155,-0.08006863025450386,-100,100,-0.05304315924211609,-100,10
30,0.7471720943315961,1355.4098813533783,-0.0933852140077821,-100,100,-0.08230642301732626,-100,10
31,0.7397003733882802,1436.6912188529968,-0.07814720090934925,-100,10,-0.07640794543654326,-100,10
32,0.7323033696543974,1518.1714415550232,-0.08635055294652326,-100,100,-0.09952629658166721,-100,100
33,0.7249803359578534,1602.5611355304718,-0.04439132661772238,-100,100,-0.1133663077240989,-100,100
34,0.7177305325982748,1695.9457120895386,-0.07110127982303681,-100,10,-0.09565683784315948,-100,10
35,0.7105532272722921,1811.368411540985,-0.07375620222609629,-100,100,0.02193498710665765,-100,100
36,0.7034476949995692,1922.7668101787567,-0.05320766190331408,-100,100,-0.16440922431132485,-100,10
37,0.6964132180495735,2035.1704614162445,-0.11824990145841545,-100,0.0,0.03622118140473264,-100,100
38,0.6894490858690777,2147.439231157303,0.04003695719125346,-100,100,-0.37147024108456794,-100,10
39,0.682554595010387,2257.207196712494,-0.09534583063994828,-100,100,-0.06513171824677079,-100,10
40,0.6757290490602831,2363.679301261902,-0.05827689399905497,-100,100,-0.19053046136435128,-100,10
41,0.6689717585696803,2487.567285299301,-0.08429926238145416,-100,10,-0.07110595864144066,-100,10
42,0.6622820409839835,2611.169179916382,-0.05044136191677175,-100,100,-0.117381552225621,-100,100
43,0.6556592205741436,2729.3970046043396,-0.07977207977207977,-100,100,-0.032585527625397126,-100,100
44,0.6491026283684022,2841.3743693828583,0.08158921603405463,-100,100,-0.6392416221090613,-100,10
45,0.6426116020847181,2973.257965564728,-0.09388151505341534,-100,100,-0.08972636351429067,-100,10
46,0.6361854860638709,3114.8890492916107,-0.07567219449364032,-100,10,-0.05725157205983944,-100,10
47,0.6298236312032323,3242.535359144211,-0.026984126984126985,-100,100,-0.15763687870563178,-100,10
48,0.6235253948912,3379.513740301132,-0.06745857163807009,-100,100,-0.11945350415200155,-100,10
49,0.617290140942288,3523.429624080658,-0.09514594420254797,-100,100,-0.05325614804264329,-100,10
50,0.6111172395328651,3660.593034505844,-0.043369474562135114,-100,100,-0.18499542528553123,-100,10
51,0.6050060671375365,3807.6534974575043,-0.06718270775522127,-100,100,-0.15751477343997541,-100,10
52,0.5989560064661611,3937.8229110240936,-0.07256113947863478,-100,10,-0.006723881697593727,-100,100
53,0.5929664464014994,4062.112950325012,0.028883845677738808,-100,100,-0.15115098950910213,-100,10
54,0.5870367819374844,4194.732797622681,-0.09050492219752303,-100,10,0.04450324756613431,-100,100
55,0.5811664141181095,4326.666019916534,-0.08432464990212317,-100,10,-0.0805864555439906,-100,100
56,0.5753547499769285,4482.091529607773,-0.07520816545796401,-100,100,0.008709163239009709,-100,100
57,0.5696012024771592,4645.85662817955,-0.08399710354815351,-100,100,0.01903754748880686,-100,100
58,0.5639051904523876,4800.557163953781,0.02589715131335553,-100,100,-0.18753534633489174,-100,100
59,0.5582661385478638,4959.722721576691,0.028831226436016856,-100,100,-0.19991605083958686,-100,10
60,0.5526834771623851,5105.94904756546,-0.11904761904761904,-100,0.0,0.024869050927010555,-0.12020574272329032,10
61,0.5471566423907612,5249.291433811188,-0.06546406750072738,-100,10,-0.13155251311265886,-100,10
62,0.5416850759668536,5395.523213148117,-0.11043622308117063,-100,100,-0.03283377526753556,-100,10
63,0.536268225207185,5547.72926235199,-0.06540447504302926,-100,100,-0.173031958936051,-100,10
64,0.5309055429551132,5717.903867721558,-0.10125278874206281,-100,100,-0.10166302072512458,-100,10
65,0.525596487525562,5897.109013795853,-0.11928429423459244,-100,0.0,0.014174741274683315,-0.14972250055066616,10
66,0.5203405226503064,6077.727869749069,-0.09784075573549257,-100,10,-0.08706476589785898,-100,10
67,0.5151371174238033,6242.795374631882,-0.10809820447050202,-100,10,-0.04589237545050785,-100,10
68,0.5099857462495653,6416.544942855835,-0.07091128545564272,-100,100,-0.10550483991297517,-100,10
69,0.5048858887870696,6593.485417842865,-0.08904316329610625,-100,100,-0.13039171971750146,-100,10
70,0.4998370298991989,6761.793781995773,-0.08366950545345883,-100,10,-0.11565733808497264,-100,10
71,0.49483865960020695,6928.115132808685,-0.026334269662921347,-100,10,-0.13699634832469987,-100,10
72,0.4898902730042049,7098.380299806595,-0.06820276497695853,-100,10,-0.1278068041020935,-100,10
73,0.48499137027416284,7273.6238052845,-0.09164222873900293,-100,100,-0.09997455726608424,-100,10
74,0.4801414565714212,7449.059932470322,-0.09835509581142954,-100,10,-0.05344862274922272,-100,100
75,0.475340042005707,7629.988090753555,-0.10686469842419852,-100,10,-0.04093498688674881,-100,10
76,0.47058664158564995,7810.139398097992,-0.06661991584852735,-100,10,-0.09940737448383886,-100,10
77,0.4658807751697934,8000.929546356201,-0.0996221229817932,-100,10,-0.05439396498624414,-100,10
78,0.4612219674180955,8186.63135099411,-0.048291897692720444,-100,10,-0.13489329870171182,-100,10
79,0.45660974774391455,8390.41041469574,-0.09057301293900184,-100,10,-0.09744053244416766,-100,10
80,0.4520436502664754,8590.237847089767,-0.08275454411112754,-100,10,0.02754618177097852,-100,100
81,0.44752321376381066,8785.236468553543,-0.08441837172699958,-100,100,-0.09216903915315149,-100,100
82,0.44304798162617254,8989.016138792038,-0.07555315704263357,-100,100,-0.04738920677816942,-100,100
83,0.4386175018099108,9197.739562273026,-0.06634499396863691,-100,10,-0.058463405445537686,-100,100
84,0.4342313267918117,9410.260669469833,-0.09031849152273808,-100,10,0.014850630680576809,-100,100
85,0.4298890135238936,9622.808537244797,-0.09036144578313253,-100,10,0.0016811430736554558,-100,10
86,0.42559012338865465,9840.502655982971,-0.09838846480067855,-100,10,0.027046016997690464,-100,100
87,0.4213342221547681,10059.969087839127,-0.10045973097224586,-100,100,-0.012433316548855567,-100,10
88,0.41712087993322045,10289.255557537079,-0.08783683191901147,-100,100,0.04835608140069388,-100,100
89,0.41294967113388825,10536.920328140259,-0.06857142857142857,-100,100,0.07674776790123676,-100,100
90,0.40882017442254937,10768.258775949478,-0.080078673784771,-100,100,-0.013153255409138974,-100,100
91,0.4047319726783239,10984.24024438858,0.009501187648456057,-100,100,-0.3484037929583791,-100,10
92,0.40068465295154065,11218.911739110947,-0.08075942193255879,-100,100,-0.04969341498233483,-100,10
93,0.39667780642202527,11455.570737838745,-0.08986284092700615,-100,10,0.010431562104790144,-100,10
94,0.392711028357805,11692.549486875534,-0.07316708974167538,-100,100,-0.18934259177471818,-100,10
95,0.38878391807422696,11931.23008942604,-0.09391913403374721,-100,100,-0.007865192633859321,-100,100
96,0.3848960788934847,12174.795672893524,-0.08024778262705899,-100,100,-0.11747012841110742,-100,10
97,0.38104711810454983,12416.418028354645,-0.08435802116099514,-100,100,-0.12925467219655715,-100,100
98,0.37723664692350434,12667.614307403564,-0.09203427483338622,-100,100,0.06850058273546225,-100,100
99,0.37346428045426927,12928.767027378082,-0.06987676280015245,-100,100,0.07459725161193306,-100,100
100,0.36972963764972655,13181.970539331436,-0.08912331757002546,-100,10,-0.10132670960478407,-100,10
101,0.36603234127322926,13433.56834936142,-0.046672428694900604,-100,100,-0.23948945107225225,-100,10
102,0.36237201786049694,13700.042637109756,-0.08098532141049435,-100,100,-0.11863571470605228,-100,10
103,0.358748297681892,13970.847985506058,-0.08320950965824665,-100,10,-0.005587056395637132,-100,100
104,0.35516081470507305,14286.012601613998,-0.09231258952729587,-100,100,0.0057305056570325814,-100,100
105,0.3516092065580223,14626.78051185608,-0.08974964572508266,-100,10,0.03197804088758905,-100,100
106,0.34809311449244207,14894.175457239151,0.013550135501355014,-100,100,-0.19556700203985303,-100,10
107,0.34461218334751764,15187.84427857399,-0.03400717929340639,-100,100,-0.3361424042555436,-100,0.6204264227574816
108,0.34116606151404244,15493.661569356918,-0.10871534698314912,-100,100,-0.07577138508974336,-100,10
109,0.337754400898902,15760.970645904541,-0.044709388971684055,-100,10,-0.12974261594714165,-100,10
110,0.334376856889913,16053.157942056656,-0.06985294117647059,-100,100,-0.20976660147724718,-100,0.4355002503940246
111,0.33103308832101386,16340.958114147186,-0.011489850631941785,-100,100,-0.2137176195337361,-100,10
112,0.3277227574378037,16629.299598932266,-0.1172562048075044,-100,0.0,0.007775249736014026,-0.43735365727188036,10
113,0.3244455298634257,16941.913769245148,-0.04631278945493409,-100,10,-0.17938881196072914,-100,10
114,0.3212010745647914,17253.618042230606,-0.00729181857955374,-100,100,-0.21257576958200408,-100,10
115,0.3179890638191435,17555.18666744232,-0.04602991944764097,-100,100,-0.1513762695734751,-100,10
116,0.31480917318095203,17905.203820705414,-0.07278020378457059,-100,100,-0.062306770728912234,-100,100
117,0.3116610814491425,18218.579426527023,-0.04253926701570681,-100,10,-0.13951345945702512,-100,10
118,0.30854447063465107,18513.472341775894,-0.06940427993059572,-100,100,-0.21578330157826328,-100,10
119,0.30545902592830454,18817.71775650978,-0.10727272727272727,-100,10,-0.044006171852019334,-100,10
120,0.3024044356690215,19119.904448986053,-0.09314808967477108,-100,100,0.07821348228084737,-100,100
121,0.29938039131233124,19434.423940896988,-0.0864123957091776,-100,100,-0.034888702185832544,-100,100
122,0.2963865873992079,19782.296215057373,-0.08051984743607854,-100,100,-0.10688588160870804,-100,10
123,0.29342272152521587,20104.952758312225,-0.09669889963321107,-100,10,0.06174236326089775,-100,100
124,0.2904884943099637,20446.806851625443,-0.07844235887379185,-100,100,-0.1544763531416757,-100,10
125,0.28758360936686406,20816.809066295624,-0.06310234052317577,-100,100,-0.06480532287487055,-100,100
126,0.2847077732731954,21155.704393863678,0.03040173724212812,-100,100,-0.19921141238207654,-100,100
127,0.28186069554046345,21521.05573439598,-0.07985430092462875,-100,100,-0.15132458040819952,-100,100
128,0.2790420885850588,21858.11432504654,-0.09072394001110905,-100,10,-0.09628563657207366,-100,10
129,0.2762516676992082,22183.922579050064,-0.07455583756345177,-100,10,-0.08491776571259725,-100,10
130,0.27348915102221616,22576.927214860916,-0.06623670908140143,-100,10,-0.09480733814336234,-100,10
131,0.270754259511994,22939.7129406929,-0.09004739336492891,-100,10,-0.019535823972978678,-100,10
132,0.26804671691687404,23286.39641213417,-0.07869589657110736,-100,100,-0.08876884068828428,-100,100
133,0.2653662497477053,23669.440163612366,-0.025152712899748474,-100,10,-0.11776778300945542,-100,10
134,0.2627125872502282,24045.933303117752,-0.06360667010486505,-100,10,-0.10949605008097163,-100,10
135,0.2600854613777259,24425.275156497955,-0.09143938199590099,-100,100,-0.12854144169777762,-100,10
136,0.2574846067639487,24823.413914442062,-0.08809914887262954,-100,100,-0.0854756395270136,-100,10
137,0.2549097606963092,25205.387169122696,-0.11507479861910241,-100,0.0,-0.04920677975890194,-100,10
138,0.2523606630893461,25593.445682525635,-0.08444444444444445,-100,100,-0.007592620357925792,-100,100
139,0.24983705645845267,25991.685186624527,-0.08006742520016856,-100,100,0.03192700135591826,-100,100
140,0.24733868589386815,26403.80997157097,-0.026533996683250415,-100,100,-0.21788297298510953,-100,100
141,0.24486529903492946,26796.226356744766,-0.08141493542953397,-100,100,-0.10709961865766321,-100,10
142,0.24241664604458016,27183.602076530457,0.032618825722273995,-100,100,-0.26404271970413623,-100,10
143,0.23999247958413436,27549.797909736633,-0.0793761314580142,-100,100,-0.08685268087304367,-100,100
144,0.23759255478829303,27937.037172794342,-0.09821874479773597,-100,100,0.07573112079937126,-100,100
145,0.2352166292404101,28335.008425474167,-0.07390787910782631,-100,100,-0.0023780274122461613,-100,100
146,0.232864462948006,28750.928102731705,-0.04404698344901228,-100,100,-0.1301021404559195,-100,100
147,0.23053581831852593,29165.287111520767,-0.08169014084507042,-100,100,-0.16763454722628807,-100,10
148,0.22823046013534068,29582.12161207199,-0.06754772393538913,-100,100,-0.20272065615333362,-100,100
149,0.22594815553398728,29989.390123605728,-0.09297195083517176,-100,100,-0.025822202151085116,-100,100
150,0.22368867397864742,30405.166576623917,-0.08395934600088378,-100,100,-0.014582476613116235,-100,100
151,0.22145178723886094,30852.18926858902,-0.06766069414860293,-100,100,-0.0032851222575667636,-100,100
152,0.21923726936647234,31276.139112710953,-0.10628715546748334,-100,10,0.03361092739869593,-100,100
153,0.2170448966728076,31647.12527489662,-0.0840583984663029,-100,100,0.07006300925678542,-100,100
154,0.21487444770607952,32080.867732524872,-0.07816862088218872,-100,100,-0.06760365967367653,-100,10
155,0.21272570322901874,32478.238301038742,-0.05009302991269501,-100,100,-0.10041250899281322,-100,100
156,0.21059844619672854,32906.5459856987,-0.049177227160960846,-100,100,-0.24509180939009353,-100,10
157,0.20849246173476127,33334.64435815811,-0.07744433688286544,-100,100,-0.08126751839937327,-100,10
158,0.20640753711741366,33766.64633202553,-0.08558359155968717,-100,100,0.029833242908962995,-100,100
159,0.20434346174623952,34204.319231271744,0.0077549437766576195,-100,100,-0.09343722984983847,-100,100
160,0.20230002712877712,34632.31053233147,-0.07846916299559471,-100,100,-0.11496872253546345,-100,10
161,0.20027702685748935,35104.2733464241,-0.06920850635459921,-100,100,0.03655913472478338,-100,100
162,0.19827425658891445,35579.62731099129,-0.05325814536340852,-100,100,0.021786978557911226,-100,100
163,0.1962915140230253,36034.147250175476,-0.06579734417992583,-100,100,0.04088918573426251,-100,100
164,0.19432859888279505,36474.89860248566,0.042748091603053436,-100,100,-0.20722792227939113,-100,10
165,0.1923853128939671,36925.25383925438,-0.06651087542692792,-100,10,-0.13350139162332608,-100,10
166,0.19046145976502743,37374.26826405525,-0.04451038575667656,-100,10,-0.1380378354493374,-100,10
167,0.18855684516737714,37833.82553076744,-0.08496176720475786,-100,100,-0.17403684871937725,-100,10
168,0.18667127671570335,38296.583204746246,-0.07952008928571429,-100,100,-0.0616025575161304,-100,100
169,0.18480456394854633,38714.43655014038,-0.07787512167987762,-100,100,-0.06915158256750376,-100,100
170,0.18295651830906087,39200.57478475571,-0.07875103619784471,-100,100,0.05734520326134348,-100,100
171,0.18112695312597027,39650.70611667633,-0.07890365448504984,-100,100,-0.011992708574580842,-100,100
172,0.17931568359471056,40078.59190297127,-0.07904590209402303,-100,100,-0.12082483050183164,-100,100
173,0.17752252675876345,40536.57038807869,-0.08686690223792698,-100,100,-0.1168215189574206,-100,10
174,0.17574730149117582,41001.41365003586,-0.06860158311345646,-100,100,-0.13552718925515767,-100,10
175,0.17398982847626407,41468.372349739075,-0.06637480581838723,-100,100,-0.15931912309594803,-100,100
176,0.17224993019150142,41969.30192899704,-0.07567418822234452,-100,10,0.03064398794051011,-100,100
177,0.1705274308895864,42471.63153076172,-0.08558359155968717,-100,100,-0.003995010595205929,-100,100
178,0.16882215658069055,42955.618763923645,-0.08745923510228283,-100,100,0.05386388992638865,-100,100
179,0.16713393501488363,43426.92353487015,-0.08139534883720931,-100,10,-0.008179073465627885,-100,10
180,0.16546259566473479,43922.42231440544,-0.060508269463493344,-100,100,-0.04518756790469699,-100,100
181,0.16380796970808745,44384.09736227989,-0.11450381679389313,-100,0.0,-0.050634641495162495,-100,10
182,0.16216989001100657,44863.9507124424,-0.0780814277746793,-100,100,0.010951479475949618,-100,100
183,0.1605481911108965,45306.15841841698,-0.08495678921927641,-100,100,-0.060362254644642246,-100,100
184,0.15894270919978754,45763.69057846069,-0.09002017693620984,-100,100,0.0003954209291930921,-100,100
185,0.15735328210778965,46208.40794920921,-0.08653564095042535,-100,100,-0.05791532646354423,-100,10
186,0.15577974928671176,46661.01291966438,-0.07869667264945465,-100,100,-0.0018693673864517606,-100,100
187,0.15422195179384465,47114.04632019997,-0.09002017693620984,-100,100,0.004310734061510766,-100,100
188,0.1526797322759062,47574.28733873367,-0.08370044052863436,-100,100,-0.051385340626633975,-100,100
189,0.15115293495314713,48026.245933294296,-0.0792106725958866,-100,100,-0.07743842521989266,-100,100
190,0.14964140560361566,48480.40654730797,-0.07760532150776053,-100,100,-0.061943928569503384,-100,10
191,0.1481449915475795,48937.73202729225,-0.08997828110456096,-100,100,0.018302929428575167,-100,100
192,0.1466635416321037,49392.69350337982,-0.08025460080254601,-100,100,-0.13578753657705347,-100,100
193,0.14519690621578268,49854.43666601181,-0.08330897398421515,-100,100,0.05148540435856773,-100,100
194,0.14374493715362485,50314.95964097977,-0.08296943231441048,-100,100,-0.06356240357268855,-100,100
195,0.1423074877820886,50765.96045780182,-0.03958363876264477,-100,100,-0.23771547181927313,-100,10
196,0.1408844129042677,51218.81909322739,-0.07222389407162202,-100,100,-0.15937577534928063,-100,10
197,0.13947556877522502,51675.325155735016,-0.08808197015998562,-100,10,-0.0998538986319289,-100,10
198,0.13808081308747278,52133.30401182175,-0.08468389545919112,-100,100,-0.03799848391292114,-100,10
199,0.13670000495659804,52577.58860659599,0.010101010101010102,-100,100,-0.40551575151582964,-100,10
200,0.13533300490703207,53038.091088056564,-0.02358887952822241,-100,10,-0.08507100097428438,-100,10
201,0.13397967485796175,53478.14642095566,0.05057471264367816,-100,100,-0.9039143514760823,-100,10
202,0.13263987810938213,53925.324791669846,-0.030308432875735425,-100,100,-0.22409767290886945,-100,0.28971534657781217
203,0.1313134793282883,54380.321979761124,-0.07483629560336763,-100,100,-0.20358723539125498,-100,10
204,0.13000034453500542,54838.72332763672,-0.1139384732244588,-100,0.0,-0.027604614763050494,-100,10
205,0.12870034108965536,55294.016807079315,-0.06821037515706337,-100,10,-0.13132606729366733,-100,10
